model,mae,rmse,rmsle
Naive Forecast,122.07167823378593,431.96441354803824,0.5486504321676083
CatBoost Log Target,63.683069969134365,234.97859183140994,0.3792398938103737
LightGBM Log Target,59.00452388433882,221.5640425453557,0.373578441618312
CatBoost + LightGBM Ensemble,59.013210386835944,220.39443618433296,0.3736729829607517
